Instance                      NSGA-II                  SL        GA                       SL        
nsf_urban_0_20requests        15.0                     5         16.0                     6         Bad                           
nsf_urban_0_30requests        17.0                     7         22.0                     6         Bad                           
nsf_urban_1_10requests        6.0                      4         6.0                      3         Bad                           
nsf_urban_1_20requests        13.0                     4         13.0                     5         Bad                           
nsf_urban_1_30requests        21.0                     9         23.0                     5         Bad                           
nsf_urban_2_10requests        6.0                      3         6.0                      5         Bad                           
nsf_urban_2_20requests        13.0                     6         15.0                     6         Bad                           
nsf_urban_2_30requests        21.0                     8         22.0                     5         Bad                           
nsf_urban_3_10requests        6.0                      5         7.0                      5         Bad                           
nsf_urban_3_20requests        12.0                     4         13.0                     6         Bad                           
nsf_urban_3_30requests        24.0                     8         27.0                     4         Bad                           
nsf_urban_4_10requests        6.0                      5         6.0                      5         Bad                           
nsf_urban_4_20requests        13.0                     5         14.0                     5         Bad                           
nsf_urban_4_30requests        21.0                     8         23.0                     5         Bad                           
